406p,1.8141729337492447,0.5334365449258011,02L,20R,406,406,A5,A1,1
405p,1.8141856158199245,0.5334315306271542,20R,02L,405,405,A6,A2,0
404p,1.8141977581713702,0.5334272515729966,02L,20R,404,404,A7,A3,0
403p,1.8142123987280304,0.5334212107499493,02L,20R,403,403,A5,A4,0
402p,1.8142244710985056,0.5334165638948532,20R,02L,402,402,A6,A1,0
401p,1.8142374227039411,0.5334116846251525,02L,02L,401,401,A7,A2,0
319p,1.8142844951249077,0.5334450674194859,20R,20R,319,319,A5,A3,0
318p,1.8142697299670696,0.5334507184471093,02L,02L,318,318,A5,A4,0
317p,1.8142546000996795,0.5334551136964219,02L,20R,317,317,A6,A3,0
316p,1.8142358044535571,0.5334609409241145,02L,02L,316,316,A7,A1,0
315p,1.8142255508270679,0.5334676788974675,02L,20R,315,315,A6,A4,0
314p,1.8142119442521947,0.5334727904411665,20R,20R,314,314,A5,A3,0
306p,1.8142474912601740,0.5334450674194859,02L,20R,306,306,A6,A3,0
305p,1.8142576994895607,0.5334723793703864,20R,02L,305,305,A7,A1,0
304p,1.8142675431022146,0.5334689260034888,20R,02L,304,304,A7,A1,0
303p,1.8142773866624877,0.5334651586717280,20R,02L,303,303,A7,A1,0
302p,1.8142872301649013,0.5334610773751068,02L,02L,302,302,A7,A1,0
301p,1.8142970736515460,0.5334610773751068,20R,20R,301,301,A5,A2,0
166p,1.8142474924957341,0.5335343792375179,20R,02L,166,166,A6,A3,0
167p,1.8142547843362202,0.5335313968479014,20R,02L,167,167,A7,A1,0
168p,1.8142620761556882,0.5335285713962323,02L,02L,168,168,A7,A3,0
169p,1.8142693679508066,0.5335257459212842,20R,20R,169,169,A5,A4,0
170p,1.8142764774309126,0.5335230773894717,02L,02L,170,170,A6,A3,0
171p,1.8142857744111127,0.5335196239593792,20R,20R,171,171,A6,A4,0
172p,1.8142928838471641,0.5335171123377263,02L,02L,172,172,A5,A2,0
173p,1.8143001755414612,0.5335142867644303,20R,02L,173,173,A7,A1,0
174p,1.8143074672114055,0.5335114611678582,02L,02L,174,174,A5,A2,0
175p,1.8143158526761927,0.5335094203044537,20R,02L,175,175,A6,A4,0
161p,1.8142494983424735,0.5335598069238978,02L,20R,161,161,A7,A3,0
160p,1.8142577018205801,0.5335579232382136,20R,02L,160,160,A7,A1,0
159p,1.8142646291294870,0.5335541560267749,02L,20R,159,159,A5,A3,0
158p,1.8142728325307933,0.5335516444333922,02L,20R,158,158,A7,A2,0
157p,1.8142812185270834,0.5335566669523353,20R,20R,157,157,A6,A4,0
156p,1.8142845001965000,0.5335627883377786,20R,02L,156,156,A7,A1,0
155p,1.8142874172863859,0.5335698097306514,20R,20R,155,155,A5,A2,0
154p,1.8142906989946210,0.5335748741459733,02L,02L,154,154,A6,A4,0
153p,1.8142903347917743,0.5335835070261207,20R,02L,153,153,A7,A3,0
152p,1.8142815844066700,0.5335875883030841,02L,20R,152,152,A5,A3,0
151p,1.8142737454133053,0.5335893151034606,20R,20R,151,151,A6,A4,0
146p,1.8142773924359936,0.5336136439917738,02L,02L,146,146,A7,A4,0
145p,1.8142857784433564,0.5336116032386956,20R,02L,145,145,A5,A4,0
144p,1.8142925236313319,0.5336086207461995,02L,20R,144,144,A6,A3,0
143p,1.8143014564459357,0.5336053242262673,02L,02L,143,143,A7,A4,0
142p,1.8143096605325053,0.5336111331454096,20R,20R,142,142,A5,A3,0
141p,1.8143127600753974,0.5336167819231111,02L,20R,141,141,A6,A4,0
140p,1.8143162242828963,0.5336229032549269,20R,02L,140,140,A7,A3,0
139p,1.8143187769749107,0.5336290246244644,02L,02L,139,139,A6,A4,0
138p,1.8143187775217120,0.5336376574920660,20R,20R,138,138,A5,A4,0
137p,1.8143096623062980,0.5336417388937752,20R,02L,137,137,A6,A3,0
136p,1.8143016407811274,0.5336434657977779,02L,20R,136,136,A7,A1,0
131p,1.8143054706250810,0.5336676376729324,20R,02L,131,131,A5,A2,0
130p,1.8143131276084896,0.5336654398880149,02L,20R,130,130,A6,A3,0
129p,1.8143215137783959,0.5336626141975110,20R,20R,129,129,A5,A3,0
128p,1.8143293540564693,0.5336751707049668,02L,02L,128,128,A6,A2,0
127p,1.8143357353827041,0.5336801931262548,20R,20R,127,127,A7,A3,0
126p,1.8143359183305772,0.5336888259839484,02L,20R,126,126,A6,A4,0
125p,1.8143311787734535,0.5336976160660170,20R,20R,125,125,A5,A2,0
124p,1.8143235394247535,0.5337009126490190,02L,02L,124,124,A5,A3,0
123p,1.8143153177100522,0.5337038952909468,20R,02L,123,123,A6,A3,0
121p,1.8143209708100889,0.5337239860645472,02L,20R,121,121,A7,A4,0
120p,1.8143309980750031,0.5337205324150468,20R,20R,120,120,A5,A3,0
119p,1.8143388374642486,0.5337167649220455,02L,02L,119,119,A6,A4,0
118p,1.8143454006977981,0.5337142531671224,20R,20R,118,118,A7,A3,0
117p,1.8143592588251474,0.5337373256135729,02L,20R,117,117,A5,A3,0
116p,1.8143526955357927,0.5337397943695695,20R,02L,116,116,A6,A1,0
115p,1.8143448560080064,0.5337429771040155,02L,20R,115,115,A7,A3,0
114p,1.8143371987849295,0.5337461167627516,20R,20R,114,114,A5,A4,0
112p,1.8143444932040558,0.5337663643483301,02L,20R,112,112,A6,A3,0
111p,1.8143545206322482,0.5337624397118184,20R,02L,111,111,A7,A4,0
110p,1.8143619955748775,0.5337593000070050,02L,20R,110,110,A5,A3,0
109p,1.8143685589681051,0.5337571021079520,20R,02L,109,109,A6,A2,0
108p,1.8143809591511890,0.5337800175610475,02L,20R,108,108,A7,A3,0
107p,1.8143734844075521,0.5337858256688127,20R,02L,107,107,A5,A4,0
106p,1.8143618160256891,0.5337905353033275,20R,02L,106,106,A6,A6,0
104p,1.8143676523382390,0.5338110968326451,02L,02L,104,104,A7,A4,0
103p,1.8143791385028636,0.5338062302204587,02L,20R,103,103,A5,A4,0
102p,1.8143911716313776,0.5338018343912071,20R,20R,102,102,A6,A2,0
101p,1.8143995582944306,0.5337985375302861,02L,20R,101,101,A7,A3,0
