101p,1.8143998807848667,0.5337981339563935,02L,20R,101,101,A7,A3,0
102p,1.8143913898291630,0.5338013892319905,20R,20R,102,102,A6,A2,0
103p,1.8143798130734627,0.5338058275652998,02L,20R,103,103,A5,A4,0
104p,	1.8143677377908860	,0.5338104568958768,02L,02L,104,104,A7,A4,0
105p,	1.8143518734386408	,0.5338057796965096,20R,20R,105,105,A5,A4,0
106p,	1.8143617506721883	,0.5337896228920072,20R,02L,106,106,A6,A6,0
107p,	1.8143734929094251	,0.5337851212262171,20R,02L,107,107,A5,A4,0
108p,	1.8143808486075577,	0.5337794671062183,02L,20R,108,108,A7,A3,0
109p,	1.8143686462762285	,0.5337568428019965,20R,02L,109,109,A6,A2,0
110p,	1.8143620661393778	,0.5337593656121484,02L,20R,110,110,A5,A3,0
111p,	1.8143546544372662	,0.5337622069299342,20R,02L,111,111,A7,A4,0
112p,	1.8143447444168281	,0.5337660061481664,02L,20R,112,112,A6,A3,0
178p,	1.8143955125306328	,0.5338275912259815,02L,20R,178,178,A7,A3,0
179p,	1.8143995921176732	,0.5338354772534970,20R,02L,179,179,A6,A1,0
201p,	1.8143549790209601	,0.5338402528978631,02L,20R,201,201,A5,A3,0
202p,	1.8143579905365395	,0.5338460745555499,20R,20R,202,202,A7,A3,0
203p,	1.8143610018904917	,0.5338518960523004,02L,02L,203,203,A6,A4,0
204p,	1.8143640134474939	,0.5338577175450516,20R,20R,204,204,A5,A3,0
205p,	1.8143670248428814	,0.5338635390338273,02L,20R,205,205,A7,A4,0
206p,	1.8143700364413202	,0.5338693605186021,20R,02L,206,206,A6,A3,0
207p,	1.8143730478781437	,0.5338751819994005,02L,02L,207,207,A5,A3,0
208p,	1.8143760595180201	,0.5338810034761968,20R,20R,208,208,A5,A2,0
210p,	1.8143847539307707	,0.5338982194388923,02L,20R,210,210,A6,A4,0
211p,	1.8143877654695739	,0.5339040409001883,20R,20R,211,211,A7,A3,0
212p,	1.8143907772114340	,0.5339098623574784,02L,02L,212,212,A6,A2,0
213p,	1.8143730414347601	,0.5338401386797355,20R,20R,213,213,A5,A3,0
214p,	1.8143765681957864	,0.5338469561953853,02L,20R,214,214,A6,A3,0
215p,	1.8143798516476255	,0.5338563720596404,20R,02L,215,215,A5,A2,0
216p,	1.8143828630950776	,0.5338621933705539,02L,20R,216,216,A7,A1,0
217p,	1.8143858745632628	,0.5338680148344398,20R,02L,217,217,A6,A3,0
218p,	1.8143888862344839	,0.5338738361373611,20R,20R,218,218,A5,A4,0
219p,	1.8143918979264739	,0.5338796579071762,02L,02L,219,219,A6,A4,0
224p,	1.8144152364581059	,0.5338690731477599,20R,02L,224,224,A7,A3,0
225p,	1.8144120465657434	,0.5338878836631507,02L,20R,225,225,A6,A4,0
226p,	1.8144052840204776	,0.5338904761476807,20R,20R,226,226,A5,A3,0
227p,	1.8143985214544951	,0.5338930687691407,02L,02L,227,227,A7,A4,0
307p,1.8142385434156361,0.5334838728485446,02L,20R,307,307,A5,A3,0
308p,1.8142312993272973,0.5334866500375163,20R,02L,308,308,A6,A1,0
309p,1.8142240550328919,0.5334894272035146,02L,20R,309,309,A7,A3,0
310p,1.8142168108970058,0.5334922043465363,20R,20R,310,310,A5,A4,0
311p,1.8142095667373475,0.5334949814665828,02L,20R,311,311,A6,A3,0
312p,1.8142023225539170,0.5334977585636536,20R,02L,312,312,A7,A4,0
313p,1.8142170951752736,0.5335176446212219,02L,20R,313,313,A5,A3,0
317p,1.8142547324260951,0.5334544990337813,20R,02L,317,317,A6,A2,0
318p,1.8142697948391195,0.5334500555982190,02L,20R,318,318,A7,A3,0
319p,1.8142842827347092,0.5334445009532109,20R,02L,319,319,A5,A4,0
326p,1.8143580848469996,0.5334780400244316,20R,02L,326,326,A6,A6,0
327p,1.8143537669474177,0.5334677538436430,02L,02L,327,327,A7,A4,0
337p,1.8143210281768916,0.5334044483215303,02L,20R,337,337,A5,A3,0
336p,1.8143242537415076,0.5334106858034607,02L,20R,336,336,A7,A2,0
334p,1.8143307505122770,0.5334231428577545,20R,20R,334,334,A6,A4,0
333p,1.8143339305779487,0.5334293977511451,20R,02L,333,333,A7,A1,0
332p,1.8143376382746261,0.5334365672240917,20R,20R,332,332,A5,A2,0
331p,1.8143408639616387,0.5334428045256916,02L,02L,331,331,A6,A4,0
330p,1.8143441352432261,0.5334490242404503,20R,02L,330,330,A7,A3,0
329p,1.8143473154069780,0.5334552791152702,02L,20R,329,329,A5,A3,0
328p,1.8143505411653054,0.5334615164032471,20R,20R,328,328,A6,A4,0
35p,1.8143274793298840,0.5334169231238933,20R,20R,35,35,A5,A3,0
339p,1.8143135358006055,0.5333869501609945,02L,02L,339,339,A5,A4,0
338p,1.8143178024537729,0.5333982109920336,02L,20R,338,338,A6,A3,0
316p,1.8142408189449124,0.5334611646125778,02L,02L,316,316,A7,A1,0
315p,1.8142255399897715,0.5334670222359769,02L,20R,315,315,A6,A4,0
314p,1.8142117178008326,0.5334723212895204,20R,20R,314,314,A5,A3,0
306p,1.8142477399027475,0.5334759956224513,02L,20R,306,306,A6,A3,0
305p,1.8142576482607522,0.5334721968255177,20R,02L,305,305,A7,A1,0
304p,1.8142675567565647,0.5334683979856010,20R,02L,304,304,A7,A1,0
303p,1.8142774652078979,0.5334645992596668,20R,02L,303,303,A7,A1,0
302p,1.8142873736147389,0.5334608003337935,02L,02L,302,302,A7,A1,0
301p,1.8142972819770913,0.5334570013649442,20R,20R,301,301,A5,A2,0
176p,1.8143263733316353,0.5335099121872168,02L,20R,176,176,A7,A3,0
